Address,Price,Link,Bedrooms,Bathrooms,SQFT
"130 Riviera Dr, Riviera Beach, FL 33404","$2,099,000",https://www.zillow.com/homedetails/130-Riviera-Dr-Riviera-Beach-FL-33404/46872717_zpid/,4,3,"2,996"
"4161 70th Ln N #1048, West Palm Beach, FL 33404","$14,000",https://www.zillow.com/homedetails/4161-70th-Ln-N-1048-West-Palm-Beach-FL-33404/2053627995_zpid/,2,2,896
"6817 41st Ave N #876, West Palm Beach, FL 33404","$230,000",https://www.zillow.com/homedetails/6817-41st-Ave-N-876-West-Palm-Beach-FL-33404/2064225482_zpid/,3,2,"1,443"
"3100 N Ocean Dr #1702-P, West Palm Beach, FL 33404","$3,275,000",https://www.zillow.com/homedetails/3100-N-Ocean-Dr-1702-P-West-Palm-Beach-FL-33404/2053597321_zpid/,2,3,"2,525"
"5480 N Ocean Dr APT B1B, Riviera Beach, FL 33404","$379,992",https://www.zillow.com/homedetails/5480-N-Ocean-Dr-APT-B1B-Riviera-Beach-FL-33404/46868993_zpid/,2,2,"1,330"
"214 Inlet Way APT 101, Palm Beach Shores, FL 33404","$375,000",https://www.zillow.com/homedetails/214-Inlet-Way-APT-101-Palm-Beach-Shores-FL-33404/46867301_zpid/,1,1,621
"3101 Park Ave, Riviera Beach, FL 33404","$992,700",https://www.zillow.com/homedetails/3101-Park-Ave-Riviera-Beach-FL-33404/46871833_zpid/,3,2,"1,401"
"7318 43rd Ter N #680, West Palm Beach, FL 33404","$25,000",https://www.zillow.com/homedetails/7318-43rd-Ter-N-680-West-Palm-Beach-FL-33404/2058484904_zpid/,2,2,720
"333 Linda Ln, Palm Beach Shores, FL 33404","$950,000",https://www.zillow.com/homedetails/333-Linda-Ln-Palm-Beach-Shores-FL-33404/46866651_zpid/,2,2,"1,648"
"1465 W 34th St, Riviera Beach, FL 33404","$399,900",https://www.zillow.com/homedetails/1465-W-34th-St-Riviera-Beach-FL-33404/46875032_zpid/,4,3,"2,016"
"33 Ocean Ave #208 & 209, West Palm Beach, FL 33404","$750,000",https://www.zillow.com/homedetails/33-Ocean-Ave-208-209-West-Palm-Beach-FL-33404/2057999428_zpid/,3,3,"1,680"
"4200 N Ocean Dr APT 1-1203, Riviera Beach, FL 33404","$499,900",https://www.zillow.com/homedetails/4200-N-Ocean-Dr-APT-1-1203-Riviera-Beach-FL-33404/46870922_zpid/,2,2,"1,210"
"848 W 1st St, Riviera Beach, FL 33404","$269,900",https://www.zillow.com/homedetails/848-W-1st-St-Riviera-Beach-FL-33404/46878395_zpid/,2,1,930
"1310 Manor Dr, Riviera Beach, FL 33404","$1,225,000",https://www.zillow.com/homedetails/1310-Manor-Dr-Riviera-Beach-FL-33404/46871694_zpid/,3,3,"2,147"
"1030 Pine Point Rd, Riviera Beach, FL 33404","$11,998,000",https://www.zillow.com/homedetails/1030-Pine-Point-Rd-Riviera-Beach-FL-33404/46870184_zpid/,5,7,"4,753"
"3600 N Ocean Dr APT 124, Riviera Beach, FL 33404","$299,888",https://www.zillow.com/homedetails/3600-N-Ocean-Dr-APT-124-Riviera-Beach-FL-33404/46871555_zpid/,2,1,868
"2800 N Ocean Dr APT A5B, West Palm Beach, FL 33404","$449,000",https://www.zillow.com/homedetails/2800-N-Ocean-Dr-APT-A5B-West-Palm-Beach-FL-33404/2060749465_zpid/,2,2,"1,219"
"207 Bravado Ln, Palm Beach Shores, FL 33404","$959,000",https://www.zillow.com/homedetails/207-Bravado-Ln-Palm-Beach-Shores-FL-33404/46866678_zpid/,2,2,"1,475"
"1224 Lucaya Dr, Riviera Beach, FL 33404","$285,000",https://www.zillow.com/homedetails/1224-Lucaya-Dr-Riviera-Beach-FL-33404/82231350_zpid/,2,3,"1,222"
"640 W 34th St, Riviera Beach, FL 33404","$365,900",https://www.zillow.com/homedetails/640-W-34th-St-Riviera-Beach-FL-33404/46873931_zpid/,4,2,"1,570"
"624 W 3rd St, Riviera Beach, FL 33404","$249,900",https://www.zillow.com/homedetails/624-W-3rd-St-Riviera-Beach-FL-33404/46878125_zpid/,2,1,818
"176 E 24th St, Riviera Beach, FL 33404","$479,000",https://www.zillow.com/homedetails/176-E-24th-St-Riviera-Beach-FL-33404/46873270_zpid/,2,2,"1,092"
"540 W 1st St, Riviera Beach, FL 33404","$425,000",https://www.zillow.com/homedetails/540-W-1st-St-Riviera-Beach-FL-33404/46878334_zpid/,3,2,"1,240"
"7322 44th Ter N #629, West Palm Beach, FL 33404","$20,000",https://www.zillow.com/homedetails/7322-44th-Ter-N-629-West-Palm-Beach-FL-33404/2067569582_zpid/,2,1,
"3800 N Ocean Dr APT 2150, Riviera Beach, FL 33404","$2,500,000",https://www.zillow.com/homedetails/3800-N-Ocean-Dr-APT-2150-Riviera-Beach-FL-33404/82605102_zpid/,3,4,"2,773"
"2440 Rj Hendley Ave, Riviera Beach, FL 33404","$269,000",https://www.zillow.com/homedetails/2440-Rj-Hendley-Ave-Riviera-Beach-FL-33404/46876360_zpid/,3,1,"1,161"
"201 Cascade Ln, Palm Beach Shores, FL 33404","$1,795,000",https://www.zillow.com/homedetails/201-Cascade-Ln-Palm-Beach-Shores-FL-33404/46866822_zpid/,5,4,"2,810"
"4200 N Ocean Dr APT 2-1001, Riviera Beach, FL 33404","$625,000",https://www.zillow.com/homedetails/4200-N-Ocean-Dr-APT-2-1001-Riviera-Beach-FL-33404/46871008_zpid/,2,2,"1,432"
"3640 N Ocean Dr APT 329, Riviera Beach, FL 33404","$374,900",https://www.zillow.com/homedetails/3640-N-Ocean-Dr-APT-329-Riviera-Beach-FL-33404/46871975_zpid/,1,2,720
"1051 Sugar Sands Blvd APT 352, Riviera Beach, FL 33404","$699,000",https://www.zillow.com/homedetails/1051-Sugar-Sands-Blvd-APT-352-Riviera-Beach-FL-33404/46872248_zpid/,2,2,"1,143"
"145 Ocean Ave APT 207, Palm Beach Shores, FL 33404","$479,000",https://www.zillow.com/homedetails/145-Ocean-Ave-APT-207-Palm-Beach-Shores-FL-33404/46867061_zpid/,2,2,"1,047"
"1301 W 28th St, Riviera Beach, FL 33404","$299,900",https://www.zillow.com/homedetails/1301-W-28th-St-Riviera-Beach-FL-33404/46875402_zpid/,3,1,864
"1030 Singer Dr, Riviera Beach, FL 33404","$1,250,000",https://www.zillow.com/homedetails/1030-Singer-Dr-Riviera-Beach-FL-33404/46871623_zpid/,3,3,"1,778"
